Province_State,Confirmed,Deaths
Alabama,987,15
Alaska,119,1
Arizona,1289,20
Arkansas,523,7
California,8233,186
Colorado,2966,71
Connecticut,3128,67
Delaware,319,8
Diamond Princess,49,0
District of Columbia,495,11
Florida,6741,88
Georgia,3929,110
Grand Princess,103,0
Hawaii,204,0
Idaho,515,9
Illinois,5994,99
Indiana,2158,49
Iowa,497,6
Kansas,434,9
Kentucky,628,10
Louisiana,5237,235
Maine,303,7
Maryland,1660,22
Massachusetts,6620,80
Michigan,7951,292
Minnesota,629,18
Mississippi,937,20
Missouri,1550,25
Montana,198,5
Nebraska,172,3
Nevada,1114,26
New Hampshire,357,3
New Jersey,18696,20
New Mexico,315,4
New York,75833,3023
North Carolina,1535,12
North Dakota,122,471
Ohio,2199,55
Oklahoma,568,23
Oregon,690,18
Pennsylvania,4963,63
Rhode Island,488,0
South Carolina,1083,30
South Dakota,108,9
Tennessee,2391,12
Texas,3809,54
Utah,888,16
Vermont,293,5
Virginia,1249,15
Washington,5432,233
West Virginia,162,13
Wisconsin,1412,25
Wyoming,109,0
